x,y
-53.5309,-29.0821
-55.013,-29.908
-56.5006,-30.7382
-57.9834,-31.5669
-59.4632,-32.3951
-60.9457,-33.226
-62.4289,-34.0585
-63.915,-34.8938
-65.3925,-35.7255
-66.8737,-36.5605
-68.3537,-37.3959
-69.8381,-38.235
-71.3143,-39.0701
-72.7917,-39.9068
-74.2711,-40.7452
-75.7508,-41.5842
-77.2284,-42.4223
-78.7116,-43.2637
-80.1872,-44.1009
-81.6647,-44.9391
-83.1485,-45.7808
-84.6218,-46.6166
-86.1028,-47.457
-87.5808,-48.2961
-89.0576,-49.1351
-90.5388,-49.9773
-92.016,-50.8181
